Hand,Number of hands that can call,Number of hands that should fold,Win Percentage when called,Sklansky-Chubukov Number,Call Win Ratio,Ranking,Percentile
AA,1.00,1224.00,0.5,inf,0.5,1,1
KK,7.00,1218.00,0.226177,953.9955,5.416761,2,0.995
QQ,13.00,1212.00,0.207007,478.0082,10.308909,3,0.989
JJ,19.00,1206.00,0.201104,319.2136,15.179024,4,0.983
TT,25.00,1200.00,0.198947,239.821,20.026325,5,0.977
99,31.00,1194.00,0.197142,191.4139,24.888598,6,0.971
88,41.00,1184.00,0.226651,159.2969,31.707309,7,0.965
AKs,75.00,1150.00,0.457697,554.51,40.672725,8,0.959
77,61.00,1164.00,0.285621,134.8477,43.577119,9,0.953
AKo,79.00,1146.00,0.433132,331.8872,44.782572,10,0.947
AQs,84.00,1141.00,0.424149,274.2112,48.371484,11,0.941
AQo,93.00,1132.00,0.403144,192.6702,55.507608,12,0.935
AJs,96.00,1129.00,0.401528,183.2213,57.453312,13,0.929
AJo,105.00,1120.00,0.379834,136.3105,65.11743,14,0.923
ATs,108.00,1117.00,0.385544,138.9131,66.361248,15,0.917
66,103.00,1122.00,0.355264,115.3485,66.407808,16,0.911
ATo,117.00,1108.00,0.362908,106.2647,74.539764,17,0.905
A9s,123.00,1102.00,0.367405,104.1248,77.809185,18,0.899
A9o,129.00,1096.00,0.339884,81.7162,85.154964,19,0.893
A8s,135.00,1090.00,0.361211,89.86565,86.236515,20,0.887
55,153.00,1072.00,0.389493,98.62987,93.407571,21,0.881
A8o,141.00,1084.00,0.332789,70.95651,94.076751,22,0.875
A7s,147.00,1078.00,0.356565,79.17591,94.584945,23,0.87
A6s,159.00,1066.00,0.352858,70.74453,102.895578,24,0.864
A7o,155.00,1070.00,0.329722,62.74775,103.89309,25,0.858
A5s,171.00,1054.00,0.367031,72.29213,108.237699,26,0.852
A6o,171.00,1054.00,0.329477,56.15123,114.659433,27,0.846
A4s,183.00,1042.00,0.366358,66.65053,115.956486,28,0.84
A5o,181.00,1044.00,0.340952,56.54209,119.287688,29,0.834
A3s,195.00,1030.00,0.366882,62.27532,123.45801,30,0.828
A2s,207.00,1018.00,0.366815,58.14199,131.069295,31,0.822
A4o,202.00,1023.00,0.347061,51.93949,131.893678,32,0.816
A3o,220.00,1005.00,0.351305,48.44544,142.7129,33,0.81
KQs,256.00,969.00,0.4295,86.6277,146.048,34,0.804
KJs,265.00,960.00,0.419399,72.62126,153.859265,35,0.798
